Symbol,Name,Sector,Industry,Index,Secode,Indcode
EFX.TO,Enerflex Ltd.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
ERF.TO,Enerplus Corporation,Energy,Oil & Gas E&P,TSXCI,ene,ogep
ENGH.TO,Enghouse Systems Limited,Technology,Software - Application,TSXCI,tec,sa
ESI.TO,Ensign Energy Services Inc.,Energy,Oil & Gas Drilling,TSXCI,ene,ogd
EIF.TO,Exchange Income Corporation,Industrials,Airlines,TSXCI,ind,air
EXE.TO,Extendicare Real Estate Investment Trust,Healthcare,Long-Term Care Facilities,TSXCI,hea,ltcf
FFH.TO,Fairfax Financial Holdings Limited,Financial Services,Insurance - Property & Casualty,TSXCI,fs,ipc
FTT.TO,Finning International Inc.,Industrials,Industrial Distribution,TSXCI,ind,idis
FCR.TO,First Capital Realty Inc.,Real Estate,Real Estate Services,TSXCI,re,res
FR.TO,First Majestic Silver Corp.,Basic Materials,Silver,TSXCI,bm,sil
FM.TO,First Quantum Minerals Ltd.,Basic Materials,Copper,TSXCI,bm,cop
